ExamDescription,GroupName
CTSETVC,CT Sella Turcica with Contrast
CTANNECC,CT Angio Head Neck with Contrast
CTSED,CT Sella Turcica wo/w Contrast
CTSIN,CT SINOGRAM
CTSPAA,CT Spine 2 or More Areas w/o Contrast
CTSPC,CT Spine 2 or More Areas w/o Contrast
CTSPCC,CT Spine 2 or More Areas with contrast
CTANNECCD,CT Angio Head Neck wo/w Contrast
CTANNECD,CT Angio Head Neck wo/w Contrast
CTANNECDHS,CT Angio Head Neck wo/w Contrast
CTSPCD,CT Spine 2 or More Areas wo/w Contrast
CTCES,CT Spine Cervical w/o Contrast
CTCESTV,CT Spine Cervical w/o Contrast
CTCESC,CT Spine Cervical with Contrast
CTCESAA,CT Spine Cervical wo/w Contrast
CTCESD,CT Spine Cervical wo/w Contrast
CTLUS,CT Spine Lumbar w/o Contrast
CTLUSP,CT Spine Lumbar w/o Contrast
CTLUSC,CT Spine Lumbar with Contrast
CTLUSAA,CT Spine Lumbar wo/w Contrast
CTLUSD,CT Spine Lumbar wo/w Contrast
CTTHS,CT Spine Thoracic w/o Contrast
CTTHSC,CT Spine Thoracic with Contrast
CTTHSAA,CT Spine Thoracic wo/w Contrast
CTTHSD,CT Spine Thoracic wo/w Contrast
CTANCEC,CT Angio Head with Contrast
CTSTJ,CT Sternoclavicular Joints w/o Contrast
CTTEJTV,CT Temporomandibular 2 Views w/o Cont
CTTMJTV,CT Temporomandibular 2 Views w/o Cont
CTTMJ,CT Temporomandibular Joints w/o Cont
CTANCED,CT Angio Head wo/w Contrast
CTANCC,CT Angio Neck with Contrast
CTANNEC,CT Angio Neck with Contrast
CTASC,CT Aspiration
CTA-BI,CT Biopsy
CTBI,CT Biopsy
CTBIA,CT Biopsy
CTI-BI,CT Biopsy
CTBIAB,CT Biopsy Abdomen
CTBIABC,CT Biopsy Abdomen
CTBIAD,CT Biopsy Abdomen
CTBIPA,CT Biopsy Abdomen
CTBISP,CT Biopsy Abdomen
CTBILUL,CT Biopsy Chest
CTBILULC,CT Biopsy Chest
CTBILUN,CT Biopsy Chest
CTBILUR,CT Biopsy Chest
CTBILURC,CT Biopsy Chest
CTBIME,CT Biopsy Chest
CTBIPE,CT Biopsy Pelvis
CTBIPEC,CT BIOPSY PELVIS
CTANTHAPPC,CT Angio Chest Abdomen Pelvis Leg Runoff with Cont
CTEXLB,CT Lower Extremity
CTEXLBC,CT Lower Extremity
CTEXLBD,CT Lower Extremity
CTEXLL,CT Lower Extremity
CTEXLLC,CT Lower Extremity
CTEXLLD,CT Lower Extremity
CTEXLLR,CT Lower Extremity
CTEXLLTA,CT Lower Extremity
CTEXLLTAC,CT Lower Extremity
CTEXLLTV,CT Lower Extremity
CTEXLLTVC,CT Lower Extremity
CTEXLR,CT Lower Extremity
CTEXLRC,CT Lower Extremity
CTEXLRD,CT Lower Extremity
CTEXLRR,CT Lower Extremity
CTEXLRTA,CT Lower Extremity
CTEXLRTAC,CT Lower Extremity
CTEXLRTV,CT Lower Extremity
CTEXLRTVC,CT Lower Extremity
CTEXUB,CT Upper Extremity
CTEXUBC,CT Upper Extremity
CTEXUBD,CT Upper Extremity
CTEXUL,CT Upper Extremity
CTEXULC,CT Upper Extremity
CTEXULD,CT Upper Extremity
CTEXULTA,CT Upper Extremity
CTEXULTAC,CT Upper Extremity
CTEXULTV,CT Upper Extremity
CTEXULTVC,CT Upper Extremity
CTEXUR,CT Upper Extremity
CTEXURC,CT Upper Extremity
CTEXURD,CT Upper Extremity
CTEXURTA,CT Upper Extremity
CTEXURTAC,CT Upper Extremity
CTEXURTV,CT Upper Extremity
CTEXURTVC,CT Upper Extremity
CTABPC,CT Abdomen Pelvis with Contrast
CTABSC,CT Abdomen Pelvis with Contrast
CTPOA,CT Post Arthrogram
CTCESAP,CT Neck Chest Abdomen Pelvis w/o Con
CTCESCAP,CT Neck Chest Abdomen Pelvis w/o Con
CTANNECCC,CT Neck Chest Abdomen w/o Contrast
CTCESCA,CT Neck Chest Abdomen w/o Contrast
CTNECA,CT Neck Chest Abdomen w/o Contrast
CTNECH,CT Neck Chest w/o Contrast
CTSIJC,CT Sacroiliac Joints with Contrast
CTANPELC,CT Angio Pelvis
CTASS,CT Aspiration Spine
CTABPRCD,CT Abdomen Pelvis wo/w Contrast
CTABSD,CT Abdomen Pelvis wo/w Contrast
CTANABPED,CT Abdomen Pelvis wo/w Contrast
CTABPS,CT Abdomen Pelvis Spine
CTABPSD,CT ABDOMEN PELVIS SPINE
CTBINE,CT Biopsy Neck
CTCHP,CT Chest Pelvis
CTA-BO,CT Attempted Exam
CTA-BOC,CT Attempted Exam
CTA-HE,CT Attempted Exam
CTA-HEC,CT Attempted Exam
CTA-INP,CT Attempted Exam
CTBIBO,CT Biopsy Bone
SPI-BILUN,CT Biopsy Bone
CTBILI,CT Biopsy Liver
CTBILIC,CT Biopsy Liver
CTBILYN,CT Biopsy Lymph Node
CTNECAPD,CT QC QUARTERLY 30 MIN
CTBIMU,CT Biopsy Muscle
CTBIRE,CT Biopsy Renal
CTBIRELC,CT Biopsy Renal
CTBIREL,CT Biopsy Renal
CTBIRER,CT Biopsy Renal
CTBIRERC,CT Biopsy Renal
CTAB,CT Abdomen w/o Contrast
CTABR,CT Abdomen w/o Contrast
CTRE,CT Abdomen w/o Contrast
CTPEAD,CT Drainage Abcess
CTPEADA,CT Drainage Abcess
CTCADR,CT Drainage
CTABS,CT ABDOMEN and SPINE(S) w/o contrast
CTAAC,CT ANGIO CHEST ABDOMEN w/wo Contrast
CTANTHAD,CT ANGIO CHEST ABDOMEN w/wo Contrast
CTANPEAA,CT ANGIO PERIPHERAL with Contrast
CTANPEC,CT ANGIO PERIPHERAL with Contrast
CTANTHLVC,CT ANGIO CHEST and LEG VENOGRAM
CTINFCM,CT Block Nerve/Facet Cervical Multi
CTNEBCMA,CT Block Nerve/Facet Cervical Multi
GPNEBCMF,CT Block Nerve/Facet Cervical Multi
CTINFCS,CT Block Nerve/Facet Cervical Single
CTNEBCSA,CT Block Nerve/Facet Cervical Single
GPNEBCSF,CT Block Nerve/Facet Cervical Single
CTINFLM,CT Block Nerve/Facet Lumbar Multi
CTNEBLMA,CT Block Nerve/Facet Lumbar Multi
CTNEBSYL,CT Block Nerve/Facet Lumbar Multi
CTPEGIW,CT Percut Guidewire Insertion
CTINFLS,CT Block Nerve/Facet Lumbar Single
CTNEBLSA,CT Block Nerve/Facet Lumbar Single
CTNEBSYCP,CT Block Nerve/Facet Lumbar Single
CTEXAAC,CT Extremity with Contrast
CTEXAA,CT Extremity w/o Contrast
CTNEBTMA,CT Block Nerve/Facet Thoracic Multi
CTTHAT,CT Tumour Ablation
CTTHATH,CT Tumour Ablation
CTTHATHA,CT Tumour Ablation
CTTUAT,CT Tumour ablation
CTNEBTSA,CT Block Nerve/Facet Thoracic Single
SPCTBO,CT Body
SPCTBOC,CT Body
SPCTBOD,CT BODY
SPCTHEBW,CT BODY
CTANNETC,CT Angio Neck Chest with Contrast
CTABC,CT Abdomen with Contrast
CTREC,CT Abdomen with Contrast
CTEXS,CT Extremity(ies) and Spine(s) w/o Contrast
CTEXSC,CT Extremity(ies) and Spine(s) with Contrast
CTEXSD,CT Extremity(ies) and Spine(s) wo/w Contrast
CTEXULB,CT Extremity Upper and Lower BILAT
CTNEABC,CT Neck Abdomen with Contrast
CTCACS,CT Cardiac Calcium Scoring
CTCOC,CT Cardiac Calcium Scoring
CTPEFD,CT Drainage Fluid w/o contrast
CTPEFDA,CT Drainage Fluid w/o contrast
CTPEFDC,CT Drainage Fluid with contrast
CTSAC,CT Sacrum with Contrast
CTSAD,CT Sacrum wo/w Contrast
CTSIJD,CT Sacoiliac joints wo/w Contrast
CTTHATSL,CT Tumour Ablation additional lesion
CTTHATTL,CT Tumour Ablation additional lesion
CTTUASL,CT Tumour ablation additional lesion
CTTUATL,CT Tumour ablation additional lesion
CTTUC,CT Tube Change
CTUNP,CT Unrequested Procedure
CTANCAC,CT Cardiac with Contrast
CTCAAL,CT Cardiac with Contrast
CTCOTSC,CT Cardiac with Contrast
CTABPSC,CT Abdomen Pelvis Spine with Contrast
CTANCAD,CT Cardiac wo/w Contrast
CTCHAP,CT Chest Abdomen Pelvis w/o Contrast
CTCHAPS,CT Chest Abdomen Pelvis w/o Contrast
CTCHAR,CT Chest Abdomen Pelvis w/o Contrast
CTTEJ,CT Temporomandibular 
CTHETACS,CT Head Neck Chest Abdo Pelvis
CTPEADABC,Perc Fluid Drainage Abdomen
CTPEFDABA,Perc Fluid Drainage Abdomen
CTPEFDABC,Perc Fluid Drainage Abdomen
CTPEADCHC,Perc Fluid Drainage Chest
CTPEFDCH,Perc Fluid Drainage Chest
CTNEABD,CT Neck Chest Abdomen W/ W/O Contrast
CTHEPTWL,Head Post Thrombolysis WL
CTINIVGIM,CT INJECTION IV GI MOTILITY
CTEPBL,CT NERVE BLK
CTSTJC,CT Sternoclavicular Joints with Contrast
CTCHAPC,CT Chest Abdomen Pelvis with Contrast
CTCHAPSC,CT Chest Abdomen Pelvis with Contrast
CTSAJC,CT SI Joints w/ Contrast
CTSAJD,CT SI Joints w/ + w/o Contrast
CTTUAHA,CT Thermal ablation
CTCHAPD,CT Chest Abdomen Pelvis wo/w Contrast
CTCHAPSD,CT Chest Abdomen Pelvis wo/w Contrast
CTABD,CT Abdomen wo/w Contrast
CTPENB,CT Abdomen wo/w Contrast
CTPENL,CT Abdomen wo/w Contrast
CTPENR,CT Abdomen wo/w Contrast
CTRED,CT Abdomen wo/w Contrast
CTCHA,CT Chest Abdomen w/o Contrast
CTCHAS,CT Chest Abdomen w/o Contrast
CTLUNGS,CT CHEST/LUNG/SCREEN
CTCHAC,CT Chest Abdomen with Contrast
CTCHACR,CT Chest Abdomen with Contrast
CTCHAD,CT Chest Abdomen wo/w Contrast
CTFUW,CT Chest Fuzzy Wire
CTCH,CT Chest w/o Contrast
CTCHS,CT Chest w/o Contrast
CTCHTV,CT Chest w/o Contrast
CTPECTI,CT Chest w/o Contrast
CTPECTIA,CT Chest w/o Contrast
CTCHAAWL,CT Chest with Contrast
CTCHC,CT Chest with Contrast
CTCHCAAWL,CT Chest with Contrast
CTCHE,CT Chest with Contrast
CTCHPC,CT Chest with Contrast
CTCHSC,CT Chest with Contrast
CTPUDVT,CT Chest with Contrast
CTCHD,CT Chest wo/w Contrast
CTCHEC,CT Chest wo/w Contrast
CTCHSD,CT Chest wo/w Contrast
CTCO,CT Colonography
CTCY,CT Cystogram
CTCYC,CT CYSTOGRAM
CTCYD,CT CYSTOGRAM
CTPA,CT Drainage Abdomen
CTPEADAB,CT Drainage Abdomen
CTPEADABA,CT Drainage Abdomen
CTPEADCH,CT Drainage Abdomen
CTPEFDAB,CT Drainage Abdomen
CTENC,CT Enterography with Contrast
CTEPBT,CT Epidural Thoracic
CTFAB,CT Facial Bones w/o Contrast
CTFABTV,CT Facial Bones w/o Contrast
CTFABC,CT Facial Bones with Contrast
CTFABTVC,CT Facial Bones with Contrast
CTFABD,CT Facial Bones wo/w Contrast
ECHOA-TEE,EC Echo Transesophageal
ECHOTEE2DD,EC Echo Transesophageal
ECHOTEEC,EC Echo Transesophageal
ECHOECCO,EC Echo with Contrast
ECHOECCOW,EC Echo with Contrast
ECHOI-TEE,EC Partially Completed Exam
ECHOEC,EC Echo
ECHOEC2DMO,EC Echo
ECHOEC2DO,EC Echo
ECHOECIE,EC Echo
ECHOECOP,EC Echo
ECHOECP,EC Echo
ECHOI-EC,EC Echo
ECHOREO,EC Echo
ECHOECDO,EC Echo and Doppler
ECHOA-EC,EC Echo Attempted Exam
ECHOBUBBLE,EC Echo Bubble Study
ECHOECSD,EC Echo Dobutamine Stress
ECHOPE,EC Echo Pericardiocentesis
ECHOPES,EC Echo Pericardiocentesis
ECHOECST,EC Echo Stress
SPEMUR,IR Angio Uterine RT
SPSTCA,IR Arterial Stent
SPSTCAA,IR Arterial Stent
SPSTCAS,IR Arterial Stent
GPA-INP,IR Attempted Exam
SPA-AN,IR Attempted Exam
SPA-BI,IR Attempted Exam
SPA-CAIPICC,IR Attempted Exam
SPA-CAIT,IR Attempted Exam
SPA-ERCPS,IR Attempted Exam
SPA-INP,IR Attempted Exam
SPA-ORFL,IR Attempted Exam
SPA-ORPEP,IR Attempted Exam
SPA-PEBD,IR Attempted Exam
SPA-PEND,IR Attempted Exam
SPA-VAP,IR Attempted Exam
SPI-BITJL,IR Attempted Exam
SPI-CAIT,IR Attempted Exam
SPI-INP,IR Attempted Exam
SPINNS,IR Attempted Exam
SPI-STU,IR Attempted Exam
SPI-TUI,IR Attempted Exam
USA-INP,IR Attempted Exam
SPSTBI,IR Biliary Stent
SPSTBS,IR Biliary Stent
SPSTR,IR Biliary Stone Removal
SPTUCBC,IR Biliary Tube Change
SPTUCBCS,IR Biliary Tube Change
SPTUCBUS,IR Biliary Tube Change
SPNEBSCP,IR Block Celiac Plexus
GPINFCSF,IR Block Cervical Root/Facet Multi
SPNEBCMF,IR Block Cervical Root/Facet Multi
SPNEBCSF,IR Block Cervical Root/Facet Multi
SPANABAN,IR Angio Aorta Thoracic
SPANTHSO,IR Angio Aorta Thoracic
SPCACPICCAI,IR Block Epidural Lumbar
SPEPBC,IR Block Epidural Lumbar
SPEPBL,IR Block Epidural Lumbar
FLNEBLMF,IR Block Lumbar Root-Facet Multi
GPINFLMF,IR Block Lumbar Root/Facet Multi
GPINFLSF,IR Block Lumbar Root/Facet Multi
GPNEBLMF,IR Block Lumbar Root-Facet Multi
SPINFLMF,IR Block Lumbar Root/Facet Multi
SPINFLSF,IR Block Lumbar Root/Facet Multi
SPNEBLMF,IR Block Lumbar Root/Facet Multi
SPNEBLSF,IR Block Lumbar Root/Facet Multi
SPNEBLMU,IR BLOCK NERVE SYMPATH LUMBAR
SPNEBSLF,IR Block Nerve Sympath Lumbar
SPNEBTMA,IR Block Thoracic Root/Facet Multi
SPNEBTMF,IR Block Thoracic Root-Facet Multi
SPNEBTMU,IR Block Thoracic Root/Facet Multi
SPNEBTSF,IR Block Thoracic Root/Facet Multi
SPNEBTSU,IR Block Thoracic Root/Facet Multi
SPANBROL,IR Angio Aorta Thoracic Selective
SPANBROR,IR Angio Aorta Thoracic Selective
SPANTHS,IR Angio Aorta Thoracic Selective
CCLTAVI,IR Cardiac Valve Replacement
SPANATL,IR Angio Aorta Translumbar
FLPECTIU,IR Chest Tube Insertion
SPPECTIA,IR Chest Tube Insertion
SPPECTIF,IR Chest Tube Insertion
FLTTC,IR Cholangiogram
GPCHO,IR CHOLANGIOGRAM
GPINJFPMR,IR Cholangiogram
GPINMF,IR Cholangiogram
GPTTC,IR Cholangiogram
SPCHO,IR Cholangiogram
SPINJF,IR Cholangiogram
SPINJFA,IR Cholangiogram
SPTUCCC,IR Cholecystostomy Tube Change
GPSTGIS,IR Colorectal Stent
SPSTCO,IR Colorectal Stent
SPSTCOS,IR Colorectal Stent
SPSTGI,IR Colorectal Stent
SPRAC,IR Consultation
SPRACNB,IR Consultation
SPRAV,IR Consultation
SPCY,IR Cystogram
SPANAOA,IR Angio Aortic Arch
SPEMUB,IR Embo Uterine or Varicocele BILAT
SPEMVAB,IR Embo Uterine or Varicocele BILAT
SPEMUL,IR Embo Uterine or Varicocele LT
SPEMVAL,IR Embo Uterine or Varicocele LT
SPEMA,IR Embo Uterine or Varicocele RT
SPEMVAR,IR Embo Uterine or Varicocele RT
SPIERCPS,IR Embo Uterine or Varicocele RT
SPEMOVB,IR Embolization Ovary BILAT
SPEMOVL,IR Embolization Ovary LT
SPEMOVR,IR Embolization Ovary RT
SPEMUF,IR Embolization Uterine Fibroid BILAT
SPESD,IR Esophageal Dilatation
SPESDS,IR Esophageal Dilatation
SPSTES,IR Esophageal Stent
SPSTESS,IR Esophageal Stent
FLFATRB,IR Fallopian Tube Recanalization BILAT
GPFATRB,IR Fallopian Tube Recanalization BILAT
SPFATRB,IR Fallopian Tube Recanalization BILAT
FLFATRL,IR Fallopian Tube Recanalization LT
GPFATRL,IR Fallopian Tube Recanalization LT
SPFATRL,IR Fallopian Tube Recanalization LT
FLFATRR,IR Fallopian Tube Recanalization RT
GPFATRR,IR Fallopian Tube Recanalization RT
SPFATRR,IR Fallopian Tube Recanalization RT
SPFLOR,IR Fluoro Only Radiologist
GPTUCGJC,IR Gastrojejunal Jejunal Tube Change
SPI-TUCGJ,IR Gastrojejunal Jejunal Tube Change
SPTUCGJC,IR Gastrojejunal Jejunal Tube Change
SPTUCGC,IR Gastrostomy Tube Change
SPRADSIE,IR Imported Digital Study
SPINSF,IR Interpretation Submitted Films
SPTUCJC,IR Jejunostomy Tube Change
GPIAC,IR Lithotripsy BILAT
GPI-LI,IR Lithotripsy BILAT
GPLIB,IR Lithotripsy BILAT
GPNEBLSF,IR Lithotripsy BILAT
GPNEBSM,IR Lithotripsy BILAT
GPNEBSS,IR Lithotripsy BILAT
GPLIL,IR Lithotripsy LT
GPLIR,IR Lithotripsy RT
SPBIAB,IR BIOPSY ABDOMEN
SPTHATSL,IR Miscellaneous Ablation Alcohol
GPNEBI,IR Nephrostogram BILAT
SPNEB,IR Nephrostogram BILAT
GPNEL,IR Nephrostogram LT
SPNEL,IR Nephrostogram LT
GPNER,IR Nephrostogram RT
SPNER,IR Nephrostogram RT
SPTHA,IR Angio Arterial / Venous Thrombolysis
SPTHIC,IR Angio Arterial / Venous Thrombolysis
SPTHICS,IR Angio Arterial / Venous Thrombolysis
SPTHV,IR Angio Arterial / Venous Thrombolysis
FLPEADCHC,IR Perc Abscess or fluid Drainage
FLPEADU,IR Perc Abscess or fluid Drainage
FLPEFDU,IR Perc Abscess or fluid Drainage
GPPEFDABA,IR Perc Abscess or fluid Drainage
GPPEFDC,IR Perc Abscess or fluid Drainage
GPPEFDU,IR Perc Abscess or fluid Drainage
SPANCB,IR Perc Abscess or fluid Drainage
SPI-PEAD,IR Perc Abscess or fluid Drainage
SPI-PEBD,IR Perc Abscess or fluid Drainage
SPI-PEND,IR Perc Abscess or fluid Drainage
SPPEADA,IR Perc Abscess or fluid Drainage
SPPEADABA,IR Perc Abscess or fluid Drainage
SPPEADABC,IR Perc Abscess or fluid Drainage
SPPEADABP,IR Perc Abscess or fluid Drainage
SPPEADABU,IR Perc Abscess or fluid Drainage
SPPEADC,IR Perc Abscess or fluid Drainage
SPPEADCHA,IR Perc Abscess or Fluid Drainage
SPPEADCHC,IR Perc Abscess or fluid Drainage
SPPEADCHP,IR Perc Abscess or fluid Drainage
SPPEADU,IR Perc Abscess or fluid Drainage
SPPEADUP,IR Perc Abscess or fluid Drainage
SPPEBDC,IR Perc Abscess or fluid Drainage
SPPEBDCS,IR Perc Abscess or fluid Drainage
SPPEBDU,IR Perc Abscess or fluid Drainage
SPPEBDUS,IR Perc Abscess or fluid Drainage
SPPEFDA,IR Perc Abscess or fluid Drainage
SPPEFDABA,IR Perc Abscess or Fluid Drainage
SPPEFDABC,IR Perc Abscess or fluid Drainage
SPPEFDABU,IR Perc Abscess or fluid Drainage
SPPEFDC,IR Perc Abscess or fluid Drainage
SPPEFDCA,IR Perc Abscess or fluid Drainage
SPPEFDCHC,IR Perc Abscess or Fluid Drainage
SPPEFDCHU,IR Perc Abscess or fluid Drainage
SPPEFDU,IR Perc Abscess or fluid Drainage
SPPECTITA,IR Perc Chest Tube Insert Permanent
SPPECTITF,IR Perc Chest Tube Insert Permanent
SPPECTITU,IR Perc Chest Tube Insert Permanent
FLPECC,IR Perc Cholecystostomy
GPPECC,IR Perc Cholecystostomy
SPPECC,IR Perc Cholecystostomy
SPPECU,IR Perc Cholecystostomy
FLPEGJC,IR Perc Gastrojejunostomy
GPPEGJC,IR Perc Gastrojejunostomy
SPPECTIU,IR Perc Gastrojejunostomy
SPPEGJC,IR Perc Gastrojejunostomy
FLPEGC,IR Perc Gastrostomy
GPPEGC,IR Perc Gastrostomy
SPPEGC,IR Perc Gastrostomy
FLPENEBS,IR Perc Neph Stone Tract BILAT
GPPENEBS,IR Perc Neph Stone Tract BILAT
FLPENELS,IR Perc Neph Stone Tract LT
GPPENELS,IR Perc Neph Stone Tract LT
SPI-STV,IR Angio Arterial Stent
SPSTVA,IR Angio Arterial Stent
SPSTVAA,IR Angio Arterial Stent
SPSTVAAS,IR Angio Arterial Stent
SPSTVAS,IR Angio Arterial Stent
FLPENERS,IR Perc Neph Stone Tract RT
GPPENERS,IR Perc Neph Stone Tract RT
FLPENBC,IR Perc Nephrostomy BILAT
GPPENBC,IR Perc Nephrostomy BILAT
SPPENBC,IR Perc Nephrostomy BILAT
SPPENBCS,IR Perc Nephrostomy BILAT
SPTUCNBCS,IR Perc Nephrostomy BILAT
FLPENLC,IR Perc Nephrostomy LT
GPPENLC,IR Perc Nephrostomy LT
SPPENLC,IR Perc Nephrostomy LT
SPPENLCS,IR Perc Nephrostomy LT
FLPENRC,IR Perc Nephrostomy RT
GPPENRC,IR Perc Nephrostomy RT
SPPENRC,IR Perc Nephrostomy RT
SPPENRCS,IR Perc Nephrostomy RT
SPPESDC,IR Perc Suprapubic Drain / Tube Insert
GPSTURB,IR Perc Ureteral Int / Ext Stent BILAT
SPSTURB,IR Perc Ureteral Int / Ext Stent BILAT
GPSTURL,IR Perc Ureteral Int / Ext Stent LT
SPSTURL,IR Perc Ureteral Int / Ext Stent LT
GPSTURR,IR Perc Ureteral Int / Ext Stent RT
SPSTURR,IR Perc Ureteral Int / Ext Stent RT
SPPERI,IR Pericardiocentesis by Radiologist
USPERIS,IR Pericardiocentesis by Radiologist
SPI-THAVFG,IR Angio AV Fist / Graft Thrombolysis
SPSTAEVG,IR Angio AV Fist / Graft Thrombolysis
SPTHAVFG,IR Angio AV Fist / Graft Thrombolysis
FLRAAFH,IR Rad Assistance 1st Hour
GPRAAFH,IR Rad Assistance 1st Hour
SPRAAFH,IR Rad Assistance 1st Hour
FLRAAAFM,IR Rad Assistance Add 15 Minutes
GPRAAAFM,IR Rad Assistance Add 15 Minutes
SPRAAAFM,IR Rad Assistance Add 15 Minutes
SPBIRELU,IR Renal Biopsy
SPANBRL,IR Angio Brachial LT
SPSAADVB,IR Sampling Adrenal
SPSAPEV,IR Sampling Petrosal Vein
SPSARE,IR Sampling Renal Renin
GPSIN,IR Sinogram or Fistulogram
SPSIN,IR Sinogram or Fistulogram
SPSINO,IR Sinogram or Fistulogram
SPANBRR,IR Angio Brachial RT
USPESD,IR Supra Pubic Catheter Change / Removal
SPBRL,IR Tracheogram
SPBRR,IR Tracheogram
FLTUCNBC,IR Tube Change Nephrostomy BILAT Cont
GPTUCNBC,IR Tube Change Nephrostomy BILAT Cont
SPTUCNBC,IR Tube Change Nephrostomy BILAT Cont
SPTUCNBU,IR Tube Change Nephrostomy BILAT Cont
FLTUCNLC,IR Tube Change Nephrostomy LT Cont
GPTUCNLC,IR Tube Change Nephrostomy LT Cont
SPTUCNLC,IR Tube Change Nephrostomy LT Cont
SPTUCNLCS,IR Tube Change Nephrostomy LT Cont
SPTUCNLU,IR Tube Change Nephrostomy LT Cont
FLTUCNRC,IR Tube Change Nephrostomy RT Cont
GPTUCNRC,IR Tube Change Nephrostomy RT Cont
SPTUCNRC,IR Tube Change Nephrostomy RT Cont
SPTUCNRCS,IR Tube Change Nephrostomy RT Cont
SPTUCNRU,IR Tube Change Nephrostomy RT Cont
GPI-ENTI,IR Tube Check
GPI-TUI,IR Tube Check
GPTUCC,IR Tube Check
GPTUIENC,IR Tube Check
GPTUIENF,IR Tube Check
GPTUM,IR Tube Check
GPTUMC,IR Tube Check
GPTUMF,IR Tube Check
GPTUPC,IR Tube Check
GPTUPCC,IR Tube Check
GPTUPCF,IR Tube Check
GPTURF,IR Tube Check
SPI-TUCF,IR Tube Check
SPTUCAC,IR Tube Check
SPTUCC,IR Tube Check
SPTUCF,IR Tube Check
SPTUCW,IR Tube Check
SPTUIENC,IR Tube Check
SPTUIENF,IR Tube Check
SPTUMAW,IR Tube Check
SPTUMC,IR Tube Check
SPTUMF,IR Tube Check
SPTUMU,IR Tube Check
SPTUPCC,IR Tube Check
SPTUPCF,IR Tube Check
SPTURAU,IR Tube Check
SPTURC,IR Tube Check
SPTURF,IR Tube Check
SPTURW,IR Tube Check
SPTUMPC,IR Tube Manip Peritoneal Catheter
SPTURBU,IR Tube Removal Chest Permanent
SPTURCTA,IR Tube Removal Chest Permanent
SPTURCTF,IR Tube Removal Chest Permanent
SPTURCTP,IR Tube Removal Chest Permanent
SPTURCTU,IR Tube Removal Chest Permanent
SPTURCU,IR Tube Removal Chest Permanent
CCLAGC,IR Angio Carotid BILAT
SPANACBS,IR Angio Carotid BILAT
SPANCABS,IR Angio Carotid BILAT
SPANCABSS,IR Angio Carotid BILAT
SPANVEBS,IR Angio Carotid BILAT
SPANACLS,IR Angio Carotid LT
SPANCALS,IR Angio Carotid LT
SPANCALSS,IR Angio Carotid LT
GPA-REU,IR Urethrogram
GPI-REU,IR Urethrogram
GPREU,IR Urethrogram
GPREUS,IR Urethrogram
GPUR,IR Urethrogram
GPVEAL,IR Venogram Arm LT
SPVEARL,IR Venogram Arm LT
GPI-VEUPER,IR Venogram Arm RT
GPVEAR,IR Venogram Arm RT
SPVEARR,IR Venogram Arm RT
SPVEARB,IR Venogram Arms BILAT
SPVEINV,IR Venogram IVC
SPVEINVS,IR Venogram IVC Selective
SPVEINVSO,IR Venogram IVC Selective
SPANACRS,IR Angio Carotid RT
SPANCARS,IR Angio Carotid RT
SPANCARSS,IR Angio Carotid RT
GPI-VELOEL,IR Venogram Leg LT
GPVELL,IR Venogram Leg LT
SPVELEL,IR Venogram Leg LT
GPI-VELOER,IR Venogram Leg RT
GPVELR,IR Venogram Leg RT
SPVELER,IR Venogram Leg RT
SPVEIL,IR Venogram Other Selective
FLVESUV,IR Venogram SVC
GPVESUV,IR Venogram SVC
SPVESUV,IR Venogram SVC
SPANCE1V,IR Angio Cerebral
SPANCEBOTT,IR Angio Cerebral
SPANCEBOTTS,IR Angio Cerebral
SPANCES,IR Angio Cerebral
SPANCESO,IR Angio Cerebral
SPCACCVLF,IR Venous Catheter Change
SPCACCVLTF,IR Venous Catheter Change
SPCACT,IR Venous Catheter Change
SPI-CACT,IR Venous Catheter Change
SPCACPICC,IR Venous Catheter Change PICC
SPCAIPICCAI,IR Venous Catheter Change PICC
SPCARTPF,IR Venous Catheter Removal
SPCARWL,IR Venous Catheter Removal
SPCAICVLF,IR Venous Central Catheter Insertion
SPCAICVLTF,IR Venous Central Catheter Insertion
SPCAICVLTU,IR Venous Central Catheter Insertion
SPCAICVLU,IR Venous Central Catheter Insertion
SPCAICVPLF,IR Venous Central Catheter Insertion
SPCAICVPLU,IR Venous Central Catheter Insertion
SPCAIPTU,IR Venous Central Catheter Insertion
SPFIFIL,IR Venous Fistulogram LT
SPFIL,IR Venous Fistulogram LT
SPFILSP,IR Venous Fistulogram LT
SPFIFIR,IR Venous Fistulogram RT
SPFIR,IR Venous Fistulogram RT
SPFIRSP,IR Venous Fistulogram RT
SPFIOTS,IR Venous Fistuloplasty
SPI-FI,IR Venous Fistuloplasty
SPANNECO4,IR Angio Cerebral / Spinal Cord AVM Embo
SPANNECU4,IR Angio Cerebral / Spinal Cord AVM Embo
SPEMNAVM,IR Angio Cerebral / Spinal Cord AVM Embo
SPCAICL,IR Venous Hickman Catheter Line Insert
GPIVCFIS,IR Venous IVC Filter Insertion
SPI-IVCFI,IR Venous IVC Filter Insertion
SPIVCFI,IR Venous IVC Filter Insertion
SPIVCFR,IR Venous IVC Filter Insertion
SPI-IVCFR,IR Venous IVC Filter Removal
SPCACPTF,IR Venous Permacath Insertion
SPCAIPTF,IR Venous Permacath Insertion
SPACAIPICC,IR Venous PICC Insertion
SPCAIPICC,IR Venous PICC Insertion
SPI-EM,IR Venous PICC Insertion
